Data,RMD_A401,RMD_A403,RMD_A415,RMDM,RMDM_Norm
2002-09-24,8.794915254237289,11.9,0.0,11.9,0.4518828451882846
2002-09-25,8.742372881355932,13.2,0.0,13.2,0.506276150627615
2002-09-26,8.689830508474575,12.3,0.0,12.3,0.46861924686192474
2002-09-27,8.63728813559322,9.0,0.0,9.0,0.33054393305439334
2002-09-28,8.584745762711865,8.8,0.0,8.8,0.3221757322175733
2002-09-29,8.532203389830508,12.7,0.0,12.7,0.48535564853556484
2002-09-30,8.479661016949152,11.2,0.0,11.2,0.4225941422594142
2002-10-01,8.427118644067797,10.4,0.0,10.4,0.38912133891213396
2002-10-02,8.37457627118644,8.4,0.0,8.4,0.30543933054393313
2002-10-03,8.322033898305085,8.7,0.0,8.7,0.3179916317991632
2002-10-04,8.269491525423728,12.5,0.0,12.5,0.47698744769874485
2002-10-05,8.216949152542373,13.5,0.0,13.5,0.5188284518828452
2002-10-06,8.164406779661016,13.4,0.0,13.4,0.5146443514644352
2002-10-07,8.111864406779661,13.9,0.0,13.9,0.5355648535564854
2002-10-08,8.059322033898304,12.1,0.0,12.1,0.46025104602510464
2002-10-09,8.00677966101695,10.4,0.0,10.4,0.38912133891213396
2002-10-10,7.954237288135593,11.1,0.0,11.1,0.4184100418410042
2002-10-11,7.901694915254237,10.6,0.0,10.6,0.397489539748954
2002-10-12,7.849152542372881,11.0,0.0,11.0,0.41422594142259417
2002-10-13,7.796610169491525,12.3,0.0,12.3,0.46861924686192474
2002-10-14,7.744067796610169,12.2,0.0,12.2,0.46443514644351463
2002-10-15,7.691525423728813,10.4,0.0,10.4,0.38912133891213396
2002-10-16,7.638983050847457,11.6,0.0,11.6,0.43933054393305443
2002-10-17,7.586440677966101,10.5,0.0,10.5,0.39330543933054396
2002-10-18,7.533898305084746,9.8,0.0,9.8,0.3640167364016737
2002-10-19,7.48135593220339,13.6,0.0,13.6,0.5230125523012552
2002-10-20,7.428813559322034,12.0,0.0,12.0,0.45606694560669464
2002-10-21,7.376271186440677,9.8,0.0,9.8,0.3640167364016737
2002-10-22,7.323728813559321,11.3,0.0,11.3,0.4267782426778243
2002-10-23,7.271186440677965,11.7,0.0,11.7,0.4435146443514645
2002-10-24,7.2186440677966095,10.6,0.0,10.6,0.397489539748954
2002-10-25,7.166101694915254,10.1,0.0,10.1,0.3765690376569038
2002-10-26,7.113559322033898,11.2,0.0,11.2,0.4225941422594142
2002-10-27,7.061016949152542,13.2,0.0,13.2,0.506276150627615
2002-10-28,7.035899322931997,12.1,0.0,12.1,0.46025104602510464
2002-10-29,7.035899322931997,12.3,0.0,12.3,0.46861924686192474
2002-10-30,7.035899322931997,13.8,0.0,13.8,0.5313807531380754
2002-10-31,7.035899322931997,13.5,0.0,13.5,0.5188284518828452
2002-11-01,7.035899322931997,15.1,0.0,15.1,0.5857740585774058
2002-11-02,7.035899322931997,14.5,0.0,14.5,0.5606694560669456
2002-11-03,7.035899322931997,12.1,0.0,12.1,0.46025104602510464
2002-11-04,7.035899322931997,12.6,0.0,12.6,0.48117154811715485
2002-11-05,7.035899322931997,12.5,0.0,12.5,0.47698744769874485
2002-11-06,7.035899322931997,12.0,0.0,12.0,0.45606694560669464
2002-11-07,7.035899322931997,12.0,0.0,12.0,0.45606694560669464
2002-11-08,7.035899322931997,17.1,0.0,17.1,0.6694560669456069
2002-11-09,7.035899322931997,13.8,0.0,13.8,0.5313807531380754
2002-11-10,7.035899322931997,8.4,0.0,8.4,0.30543933054393313
2002-11-11,7.035899322931997,10.9,0.0,10.9,0.41004184100418417
2002-11-12,7.035899322931997,11.2,0.0,11.2,0.4225941422594142
2002-11-13,7.035899322931997,16.2,0.0,16.2,0.6317991631799165
2002-11-14,7.035899322931997,13.9,0.0,13.9,0.5355648535564854
2002-11-15,7.035899322931997,11.7,0.0,11.7,0.4435146443514645
